Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
32	:	1590537718.723	     8.040	0	0	1	0	python gillespie.py -m sir -t 100 
33	:	1590537718.725	     8.039	0	0	1	0	python gillespie.py -m sir -t 100 
34	:	1590537718.727	     8.036	0	0	1	0	python gillespie.py -m sir -t 100 
37	:	1590537718.732	     8.031	0	0	1	0	python gillespie.py -m sir -t 100 
38	:	1590537718.734	     8.029	0	0	1	0	python gillespie.py -m sir -t 100 
40	:	1590537718.738	     8.026	0	0	1	0	python gillespie.py -m sir -t 100 
41	:	1590537726.658	     0.319	0	0	1	0	python gillespie.py -m sir -t 100 
42	:	1590537726.675	     0.331	0	0	1	0	python gillespie.py -m sir -t 100 
43	:	1590537726.706	     0.389	0	0	1	0	python gillespie.py -m sir -t 100 
44	:	1590537726.724	     0.403	0	0	1	0	python gillespie.py -m sir -t 100 
46	:	1590537726.734	     0.411	0	0	1	0	python gillespie.py -m sir -t 100 
47	:	1590537726.744	     0.409	0	0	1	0	python gillespie.py -m sir -t 100 
45	:	1590537726.731	     0.440	0	0	1	0	python gillespie.py -m sir -t 100 
51	:	1590537726.754	     0.417	0	0	1	0	python gillespie.py -m sir -t 100 
52	:	1590537726.756	     0.417	0	0	1	0	python gillespie.py -m sir -t 100 
53	:	1590537726.758	     0.422	0	0	1	0	python gillespie.py -m sir -t 100 
54	:	1590537726.760	     0.423	0	0	1	0	python gillespie.py -m sir -t 100 
50	:	1590537726.752	     0.434	0	0	1	0	python gillespie.py -m sir -t 100 
56	:	1590537726.766	     0.437	0	0	1	0	python gillespie.py -m sir -t 100 
57	:	1590537726.768	     0.439	0	0	1	0	python gillespie.py -m sir -t 100 
58	:	1590537726.769	     0.442	0	0	1	0	python gillespie.py -m sir -t 100 
55	:	1590537726.762	     0.453	0	0	1	0	python gillespie.py -m sir -t 100 
49	:	1590537726.750	     0.469	0	0	1	0	python gillespie.py -m sir -t 100 
61	:	1590537726.775	     0.445	0	0	1	0	python gillespie.py -m sir -t 100 
60	:	1590537726.773	     0.453	0	0	1	0	python gillespie.py -m sir -t 100 
65	:	1590537726.782	     0.457	0	0	1	0	python gillespie.py -m sir -t 100 
68	:	1590537726.787	     0.456	0	0	1	0	python gillespie.py -m sir -t 100 
72	:	1590537726.794	     0.450	0	0	1	0	python gillespie.py -m sir -t 100 
70	:	1590537726.791	     0.453	0	0	1	0	python gillespie.py -m sir -t 100 
75	:	1590537726.799	     0.444	0	0	1	0	python gillespie.py -m sir -t 100 
63	:	1590537726.779	     0.467	0	0	1	0	python gillespie.py -m sir -t 100 
69	:	1590537726.789	     0.457	0	0	1	0	python gillespie.py -m sir -t 100 
64	:	1590537726.780	     0.467	0	0	1	0	python gillespie.py -m sir -t 100 
74	:	1590537726.797	     0.452	0	0	1	0	python gillespie.py -m sir -t 100 
80	:	1590537726.809	     0.440	0	0	1	0	python gillespie.py -m sir -t 100 
77	:	1590537726.803	     0.449	0	0	1	0	python gillespie.py -m sir -t 100 
79	:	1590537726.807	     0.446	0	0	1	0	python gillespie.py -m sir -t 100 
59	:	1590537726.771	     0.483	0	0	1	0	python gillespie.py -m sir -t 100 
48	:	1590537726.748	     0.509	0	0	1	0	python gillespie.py -m sir -t 100 
73	:	1590537726.796	     0.460	0	0	1	0	python gillespie.py -m sir -t 100 
67	:	1590537726.786	     0.471	0	0	1	0	python gillespie.py -m sir -t 100 
62	:	1590537726.777	     0.482	0	0	1	0	python gillespie.py -m sir -t 100 
71	:	1590537726.792	     0.471	0	0	1	0	python gillespie.py -m sir -t 100 
78	:	1590537726.805	     0.493	0	0	1	0	python gillespie.py -m sir -t 100 
81	:	1590537726.981	     0.328	0	0	1	0	python gillespie.py -m sir -t 100 
66	:	1590537726.784	     0.536	0	0	1	0	python gillespie.py -m sir -t 100 
76	:	1590537726.801	     0.528	0	0	1	0	python gillespie.py -m sir -t 100 
82	:	1590537727.009	     0.338	0	0	1	0	python gillespie.py -m sir -t 100 
83	:	1590537727.098	     0.276	0	0	1	0	python gillespie.py -m sir -t 100 
84	:	1590537727.129	     0.269	0	0	1	0	python gillespie.py -m sir -t 100 
85	:	1590537727.147	     0.277	0	0	1	0	python gillespie.py -m sir -t 100 
86	:	1590537727.155	     0.276	0	0	1	0	python gillespie.py -m sir -t 100 
89	:	1590537727.178	     0.270	0	0	1	0	python gillespie.py -m sir -t 100 
90	:	1590537727.182	     0.266	0	0	1	0	python gillespie.py -m sir -t 100 
88	:	1590537727.176	     0.273	0	0	1	0	python gillespie.py -m sir -t 100 
87	:	1590537727.174	     0.276	0	0	1	0	python gillespie.py -m sir -t 100 
91	:	1590537727.186	     0.273	0	0	1	0	python gillespie.py -m sir -t 100 
92	:	1590537727.189	     0.271	0	0	1	0	python gillespie.py -m sir -t 100 
95	:	1590537727.214	     0.266	0	0	1	0	python gillespie.py -m sir -t 100 
93	:	1590537727.209	     0.273	0	0	1	0	python gillespie.py -m sir -t 100 
94	:	1590537727.212	     0.270	0	0	1	0	python gillespie.py -m sir -t 100 
96	:	1590537727.219	     0.263	0	0	1	0	python gillespie.py -m sir -t 100 
97	:	1590537727.221	     0.263	0	0	1	0	python gillespie.py -m sir -t 100 
98	:	1590537727.223	     0.260	0	0	1	0	python gillespie.py -m sir -t 100 
99	:	1590537727.228	     0.258	0	0	1	0	python gillespie.py -m sir -t 100 
100	:	1590537727.243	     0.253	0	0	1	0	python gillespie.py -m sir -t 100 
101	:	1590537727.246	     0.256	0	0	1	0	python gillespie.py -m sir -t 100 
