Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
30	:	1590537718.719	     7.935	0	0	1	0	python gillespie.py -m sir -t 100 
18	:	1590537718.700	     7.973	0	0	1	0	python gillespie.py -m sir -t 100 
16	:	1590537718.696	     8.006	0	0	1	0	python gillespie.py -m sir -t 100 
5	:	1590537718.675	     8.046	0	0	1	0	python gillespie.py -m sir -t 100 
9	:	1590537718.682	     8.039	0	0	1	0	python gillespie.py -m sir -t 100 
39	:	1590537718.736	     7.994	0	0	1	0	python gillespie.py -m sir -t 100 
7	:	1590537718.679	     8.059	0	0	1	0	python gillespie.py -m sir -t 100 
1	:	1590537718.669	     8.069	0	0	1	0	python gillespie.py -m sir -t 100 
36	:	1590537718.730	     8.009	0	0	1	0	python gillespie.py -m sir -t 100 
3	:	1590537718.672	     8.070	0	0	1	0	python gillespie.py -m sir -t 100 
23	:	1590537718.708	     8.039	0	0	1	0	python gillespie.py -m sir -t 100 
29	:	1590537718.717	     8.030	0	0	1	0	python gillespie.py -m sir -t 100 
6	:	1590537718.677	     8.072	0	0	1	0	python gillespie.py -m sir -t 100 
10	:	1590537718.684	     8.065	0	0	1	0	python gillespie.py -m sir -t 100 
15	:	1590537718.694	     8.056	0	0	1	0	python gillespie.py -m sir -t 100 
19	:	1590537718.701	     8.049	0	0	1	0	python gillespie.py -m sir -t 100 
4	:	1590537718.673	     8.088	0	0	1	0	python gillespie.py -m sir -t 100 
2	:	1590537718.670	     8.092	0	0	1	0	python gillespie.py -m sir -t 100 
8	:	1590537718.680	     8.082	0	0	1	0	python gillespie.py -m sir -t 100 
13	:	1590537718.690	     8.072	0	0	1	0	python gillespie.py -m sir -t 100 
14	:	1590537718.692	     8.070	0	0	1	0	python gillespie.py -m sir -t 100 
17	:	1590537718.698	     8.064	0	0	1	0	python gillespie.py -m sir -t 100 
21	:	1590537718.705	     8.058	0	0	1	0	python gillespie.py -m sir -t 100 
27	:	1590537718.714	     8.049	0	0	1	0	python gillespie.py -m sir -t 100 
35	:	1590537718.729	     8.033	0	0	1	0	python gillespie.py -m sir -t 100 
25	:	1590537718.711	     8.052	0	0	1	0	python gillespie.py -m sir -t 100 
22	:	1590537718.706	     8.056	0	0	1	0	python gillespie.py -m sir -t 100 
20	:	1590537718.703	     8.059	0	0	1	0	python gillespie.py -m sir -t 100 
11	:	1590537718.686	     8.076	0	0	1	0	python gillespie.py -m sir -t 100 
12	:	1590537718.688	     8.075	0	0	1	0	python gillespie.py -m sir -t 100 
24	:	1590537718.709	     8.054	0	0	1	0	python gillespie.py -m sir -t 100 
26	:	1590537718.712	     8.052	0	0	1	0	python gillespie.py -m sir -t 100 
28	:	1590537718.715	     8.049	0	0	1	0	python gillespie.py -m sir -t 100 
31	:	1590537718.721	     8.042	0	0	1	0	python gillespie.py -m sir -t 100 
